seq,virtual_time_s,channel,action,result,x_m,y_m,svd_deg
5,14.0,1,measure,no_signal,44.62,5.87,
7,20.0,2,measure,no_signal,44.62,5.87,
9,26.0,3,measure,no_signal,44.62,5.87,
11,32.0,4,measure,no_signal,44.62,5.87,
13,38.0,5,measure,direction,44.62,5.87,342.37
15,44.0,6,measure,no_signal,44.62,5.87,
17,50.0,7,measure,direction,44.62,5.87,139.15
19,56.0,8,measure,no_signal,44.62,5.87,
21,62.0,9,measure,no_signal,44.62,5.87,
23,68.0,10,measure,no_signal,44.62,5.87,
25,74.0,11,measure,no_signal,44.62,5.87,
27,80.0,12,measure,direction,44.62,5.87,155.07
29,86.0,13,measure,direction,44.62,5.87,1.19
31,92.0,14,measure,no_signal,44.62,5.87,
33,98.0,15,measure,direction,44.62,5.87,111.09
35,104.0,16,measure,no_signal,44.62,5.87,
37,110.0,17,measure,no_signal,44.62,5.87,
39,116.0,18,measure,no_signal,44.62,5.87,
41,122.0,19,measure,no_signal,44.62,5.87,
43,128.0,20,measure,direction,44.62,5.87,160.12
51,379.483,5,measure,no_signal,-158.59,-1204.61,
53,385.483,1,measure,no_signal,-158.59,-1204.61,
55,391.483,2,measure,no_signal,-158.59,-1204.61,
57,397.483,3,measure,no_signal,-158.59,-1204.61,
59,403.483,4,measure,direction,-158.59,-1204.61,164.8
61,409.483,6,measure,no_signal,-158.59,-1204.61,
63,415.483,8,measure,no_signal,-158.59,-1204.61,
65,421.483,9,measure,no_signal,-158.59,-1204.61,
67,427.483,10,measure,no_signal,-158.59,-1204.61,
69,433.483,11,measure,direction,-158.59,-1204.61,350.94
71,439.483,14,measure,no_signal,-158.59,-1204.61,
73,445.483,16,measure,direction,-158.59,-1204.61,244.75
75,451.483,17,measure,no_signal,-158.59,-1204.61,
77,457.483,18,measure,no_signal,-158.59,-1204.61,
79,463.483,19,measure,no_signal,-158.59,-1204.61,
83,669.483,5,measure,direction,740.66,-767.18,58.11
85,675.483,11,measure,direction,740.66,-767.18,220.51
87,681.483,13,measure,direction,740.66,-767.18,46.83
89,687.483,16,measure,direction,740.66,-767.18,216.08
91,693.483,1,measure,no_signal,740.66,-767.18,
93,699.483,2,measure,no_signal,740.66,-767.18,
95,705.483,3,measure,no_signal,740.66,-767.18,
97,711.483,6,measure,no_signal,740.66,-767.18,
99,717.483,8,measure,no_signal,740.66,-767.18,
101,723.483,9,measure,no_signal,740.66,-767.18,
103,729.483,10,measure,no_signal,740.66,-767.18,
105,735.483,14,measure,no_signal,740.66,-767.18,
107,741.483,17,measure,no_signal,740.66,-767.18,
109,747.483,18,measure,no_signal,740.66,-767.18,
111,753.483,19,measure,no_signal,740.66,-767.18,
113,818.668,13,measure,direction,1035.33,-794.43,61.81
115,824.668,5,measure,direction,1035.33,-794.43,92.24
117,830.668,1,measure,no_signal,1035.33,-794.43,
119,836.668,2,measure,no_signal,1035.33,-794.43,
121,842.668,3,measure,no_signal,1035.33,-794.43,
123,848.668,6,measure,no_signal,1035.33,-794.43,
125,854.668,8,measure,no_signal,1035.33,-794.43,
127,860.668,9,measure,no_signal,1035.33,-794.43,
129,866.668,10,measure,no_signal,1035.33,-794.43,
131,872.668,14,measure,no_signal,1035.33,-794.43,
133,878.668,17,measure,no_signal,1035.33,-794.43,
135,884.668,18,measure,no_signal,1035.33,-794.43,
137,890.668,19,measure,no_signal,1035.33,-794.43,
139,994.13,5,clear,success,1011.49,-302.7,
141,1150.157,13,measure,direction,1738.3,-117.1,145.7
143,1156.157,1,measure,no_signal,1738.3,-117.1,
145,1162.157,2,measure,no_signal,1738.3,-117.1,
147,1168.157,3,measure,no_signal,1738.3,-117.1,
149,1174.157,6,measure,no_signal,1738.3,-117.1,
151,1180.157,8,measure,no_signal,1738.3,-117.1,
153,1186.157,9,measure,no_signal,1738.3,-117.1,
155,1192.157,10,measure,no_signal,1738.3,-117.1,
157,1198.157,14,measure,no_signal,1738.3,-117.1,
159,1204.157,17,measure,no_signal,1738.3,-117.1,
161,1210.157,18,measure,no_signal,1738.3,-117.1,
163,1216.157,19,measure,no_signal,1738.3,-117.1,
165,1281.001,13,clear,success,1483.18,39.25,
167,1394.473,15,measure,no_signal,1205.66,499.4,
169,1400.473,1,measure,no_signal,1205.66,499.4,
171,1406.473,2,measure,no_signal,1205.66,499.4,
173,1412.473,3,measure,no_signal,1205.66,499.4,
175,1418.473,6,measure,no_signal,1205.66,499.4,
177,1424.473,8,measure,no_signal,1205.66,499.4,
179,1430.473,9,measure,no_signal,1205.66,499.4,
181,1436.473,10,measure,no_signal,1205.66,499.4,
183,1442.473,14,measure,no_signal,1205.66,499.4,
185,1448.473,17,measure,no_signal,1205.66,499.4,
187,1454.473,18,measure,no_signal,1205.66,499.4,
189,1460.473,19,measure,no_signal,1205.66,499.4,
191,1718.955,7,measure,direction,158.59,1204.61,201.83
193,1724.955,15,measure,direction,158.59,1204.61,233.14
