run_id,scenario,case_code,cleared,detected_channels,measures,direction_readings,clear_miss,virtual_time_s,avg_clear_virtual_s,program_real_time_s,pending,ended_reason,cost_model_mismatches
20260911-101844-live,?,2CZS-TH6M-GNV6-BH9S,13,13,105,26,0,7193.781,553.368,2.407,0,all_resolved,0
20260911-104347-live,?,FFCY-C55D-SY6C-KKD6,10,10,120,20,1,6242.931,624.293,2.156,0,all_resolved,0
20260911-104523-live,?,CXHW-YGG7-Z9P4-2XT2,12,12,105,24,1,6380.711,531.726,2.235,0,all_resolved,0
20260911-115500-live,?,P8SU-JW2B-55SM-GDDS,16,16,119,34,5,7266.395,454.15,2.969,0,all_resolved,0
20260911-120043-live,?,48M5-AFX9-WQSP-BY4W,12,12,104,25,3,5486.736,457.228,2.25,0,all_resolved,0
20260911-124545-live,?,HDZM-WJRC-N59Z-NA53,10,10,138,21,0,3871.565,387.157,1.718,0,all_resolved,0
20260911-124912-live,?,J4U9-AZVQ-ZCJ5-9QT7,14,14,147,34,2,4315.851,308.275,2.469,0,all_resolved,0
20260911-130818-live,?,PKJK-9TNT-9W79-XBRF,14,14,111,30,1,4230.306,302.165,2.25,0,all_resolved,0
20260911-130854-live,?,M6ZE-FWZB-V86S-QA3F,13,13,144,34,14,4887.003,375.923,2.422,0,all_resolved,0
20260911-131201-live,?,2FBX-9S3J-S364-RJER,13,13,182,36,0,4105.453,315.804,2.703,0,all_resolved,0
20260911-162446-live,?,QYAU-636A-4TUT-ZFM2,12,12,166,30,2,4759.877,396.656,2.344,0,all_resolved,0
20260911-162510-live,?,2VU7-82X2-MYTW-SB88,11,11,191,25,0,5015.089,455.917,2.875,0,all_resolved,0
20260911-162759-live,?,D7Y7-YRR9-BM9H-25U2,11,11,165,24,4,4456.267,405.115,2.344,0,all_resolved,0
20260911-162947-live,?,APK4-6DY9-X67D-J6MA,10,10,132,26,2,3481.89,348.189,2.156,0,all_resolved,0
20260911-163315-live,?,D8HG-T6GF-KQ8N-F7Q9,12,12,136,25,1,3752.163,312.68,2.328,0,all_resolved,0
20260911-164209-live,?,9M93-9YCZ-C6FB-KYT4,12,12,159,31,0,3720.238,310.02,2.547,0,all_resolved,0
20260912-014850-live-q4,q4,7QF4-KM6Q-5CRT-8T83,11,11,158,24,0,3761.913,341.992,2.047,9,no_action,0
20260912-014918-live-q3,q3,UC57-24P3-6FQX-FM8Q,15,16,153,43,0,4420.653,294.71,2.797,1,no_action,0
20260912-014942-live-q3,q3,AT6X-BKEN-Z6MS-84JN,10,10,188,21,19,5055.439,505.544,2.656,0,all_resolved,0
20260912-015005-live-q4,q4,QJS6-32N7-6XH3-T9A8,11,11,164,26,11,4558.662,414.424,2.64,9,no_action,0
20260912-015025-live-q4,q4,AJZ9-358Z-23DG-UJHK,14,14,132,35,2,3971.565,283.683,2.078,6,no_action,0
20260912-015052-live-q4,q4,BSJ5-9YZT-WFBR-MBNZ,10,10,163,25,11,3935.073,393.507,2.422,10,no_action,0
20260912-015355-live-q3,q3,54D6-SCFX-P4AE-BQ3B,14,14,138,35,2,3761.973,268.712,2.141,0,all_resolved,0
20260912-015414-live-q3,q3,GUB2-B8C7-PYQ4-9RXX,13,13,114,28,1,3331.963,256.305,1.703,0,all_resolved,0
20260912-020024-live-q4,q4,MYWD-2DRT-N8EJ-WEAB,11,12,270,23,22,5880.2,534.564,4.906,9,no_action,0
20260912-020052-live-q4,q4,TXZ3-KQTE-TRAC-D9GA,6,10,212,14,29,5497.178,916.196,3.688,14,no_action,0
20260912-020135-live-q4,q4,FVB8-4JY4-SA8B-Y2C5,12,13,139,25,11,4591.155,382.596,2.312,8,no_action,0
20260912-020219-live-q4,q4,NWTB-95UV-863A-WDME,12,12,184,23,13,4889.616,407.468,2.829,8,no_action,0
20260912-020243-live-q4,q4,K6YV-R8QT-6T8X-9GPF,11,12,146,28,10,3921.486,356.499,2.547,9,no_action,0
20260912-020512-live-q4,q4,RSBB-FU7A-5P2E-YGPH,8,13,294,25,53,8058.444,1007.306,5.968,12,no_action,0
20260912-020634-live-q4,q4,62FA-R7AW-K4T3-4PXN,9,10,219,23,12,4122.749,458.083,3.093,11,no_action,0
20260912-020753-live-q4,q4,WCGH-WKK3-DTV6-725U,8,12,222,20,25,5061.493,632.687,3.969,12,no_action,0
20260912-023341-live-q4-r1,?,,10,13,223,25,3,4154.135,415.413,117.985,10,no_action,0
20260912-024240-live-q4,q4,S6TK-VW4D-NVEY-GK65,8,11,156,25,2,3020.839,377.605,1.765,12,no_action,0
20260912-024259-live-q4,q4,HAHW-QKJW-K79F-2NZD,14,15,168,32,10,5309.601,379.257,2.657,6,no_action,0
20260912-024321-live-q4,q4,DRV9-DP95-K4HR-WESH,13,14,213,28,5,4382.979,337.152,2.609,7,no_action,0
20260912-025003-live-q4,q4,3X72-HUY4-ECZP-HZJC,6,10,286,17,3,5240.36,873.393,3.047,14,no_action,0
20260912-025026-live-q4,q4,ZTVS-ZVH7-8ASN-JQ34,11,16,168,31,7,3933.377,357.58,2.547,9,no_action,0
20260912-030150-live-q4,q4,HQG5-K9FG-A742-TEQJ,7,9,269,19,0,4239.742,605.677,3.328,13,no_action,0
20260912-030325-live-q4,q4,Q64W-8RQV-8WJP-7W7W,7,11,207,22,4,3724.088,532.013,2.579,13,no_action,0
20260912-030400-live-q4,q4,EC2J-87GV-XYAP-NY42,8,10,152,23,6,3465.182,433.148,2,12,no_action,0
20260912-030834-live-q4,q4,KFCE-35Z5-J7HQ-HAQZ,10,12,247,24,5,5123.609,512.361,3.422,10,no_action,0
20260912-030851-live-q4,q4,4JU3-WGBB-4P9N-AV23,8,15,218,27,0,4827.806,603.476,3.766,12,no_action,0
20260912-030906-live-q4,q4,F7ZD-G4BB-7AWD-3XXK,10,12,225,28,4,4435.556,443.556,3.016,10,no_action,0
20260912-030920-live-q4,q4,AV4T-QCFA-ASFP-EMRG,4,12,223,16,2,3930.996,982.749,2.468,16,no_action,0
20260912-030935-live-q4,q4,8RAV-MSYA-GCMD-D5X7,6,9,238,17,2,4009.767,668.295,2.594,14,no_action,0
20260912-030947-live-q4,q4,6QTP-YEJY-SY9G-NJ8J,8,11,141,24,4,3555.794,444.474,1.891,12,no_action,0
20260912-031011-live-q4,q4,KZG2-HZN9-8PBU-FQND,7,10,228,22,4,4129.133,589.876,2.719,13,no_action,0
20260912-031027-live-q4,q4,J2R8-WEUF-5UYC-QER4,8,12,197,26,2,4093.648,511.706,2.141,12,no_action,0
20260912-031040-live-q4,q4,UMFV-Z5FS-2H57-V4V5,10,14,221,28,1,4273.411,427.341,2.969,10,no_action,0
20260912-031055-live-q4,q4,YA2M-RNFS-KMEE-NVWB,13,14,114,31,1,4018.378,309.106,1.859,7,no_action,0
20260912-031113-live-q4,q4,JGB7-AEZE-D28A-VB3B,14,16,128,34,7,4663.199,333.086,1.922,6,no_action,0
20260912-031128-live-q4,q4,C6NH-AJXX-GZUR-YFSM,9,12,214,30,5,3987.299,443.033,3.109,11,no_action,0
20260912-031147-live-q4,q4,SYDZ-QMW8-PQ7D-V29Z,10,14,172,34,0,3774.634,377.463,2.297,10,no_action,0
20260912-031201-live-q4,q4,UPSD-DP6E-3V6V-MRFC,9,11,205,25,1,4051.103,450.123,2.422,11,no_action,0
20260912-031600-live-q4,q4,KKDH-XDEP-EXFG-29JN,11,13,203,27,7,4285.998,389.636,2.875,9,no_action,0
20260912-031613-live-q4,q4,W9D3-97MX-9YKC-N7P5,13,16,172,33,30,5317.588,409.045,3.453,7,no_action,0
20260912-031628-live-q4,q4,AJ8E-SVR9-ATZ2-RJKC,11,13,152,27,6,3866.811,351.528,2.391,9,no_action,0
20260912-031643-live-q4,q4,JWXZ-TM8D-JCGD-3T77,10,16,236,34,34,5682.039,568.204,4.046,10,no_action,0
20260912-031706-live-q4,q4,ENT3-732M-8UQ2-VDMK,7,11,230,20,11,4521.315,645.902,3.188,13,insufficient_budget,0
20260912-031719-live-q4,q4,NDWE-UF7B-URP6-FRB9,7,10,234,21,23,5101.458,728.78,3.344,13,no_action,0
20260912-031733-live-q4,q4,8Q6H-E5RP-JURV-KRZQ,9,12,225,24,13,4628.776,514.308,3.406,11,no_action,0
20260912-031746-live-q4,q4,ZZYX-ZDDG-QWC8-ZYF3,8,11,127,23,0,3153.243,394.155,1.297,12,no_action,0
20260912-031811-live-q4,q4,QTWB-G3XX-MWSH-WWWH,12,16,161,29,17,4944.985,412.082,3.234,8,no_action,0
20260912-031825-live-q4,q4,P6CV-H7TZ-4N7J-ANP4,9,12,200,24,31,5151.357,572.373,4.172,11,no_action,0
20260912-031842-live-q4,q4,2CWV-FDEN-DUJZ-WRA6,8,11,203,25,13,4631.107,578.888,2.672,12,no_action,0
20260912-031857-live-q4,q4,P7P7-Z4MF-M3SP-2KNJ,9,15,212,22,29,5366.335,596.259,3.656,11,no_action,0
20260912-031914-live-q4,q4,7P77-7T2Z-5Q7H-WZF7,9,11,181,18,13,4455.448,495.05,2.547,11,no_action,0
20260912-031934-live-q4,q4,BBWZ-A2SD-9DTU-HH5Z,11,12,142,29,3,3927.104,357.009,1.843,9,no_action,0
20260912-032910-live-q4,q4,M48U-WD9V-D22H-2K5F,11,11,137,26,4,3555.66,323.242,2.39,9,no_action,0
20260912-032930-live-q4,q4,SCHC-A4YB-HYSU-JRN4,7,9,220,16,1,3636.463,519.495,3.062,13,no_action,0
20260912-032944-live-q4,q4,E38Y-TFH6-R58Y-UN3V,15,15,155,34,1,4990.188,332.679,3.094,5,no_action,0
20260912-032958-live-q4,q4,ENHT-ENXR-RTDN-YY9U,7,11,200,21,5,4232.539,604.648,3.172,13,no_action,0
20260912-033017-live-q4,q4,TCBR-EFNF-6GBM-QVKV,13,14,207,31,4,4732.478,364.037,3.546,7,no_action,0
20260912-033032-live-q4,q4,SNCR-FCVY-DDXG-MVMA,6,8,273,14,2,3892.828,648.805,2.641,14,no_action,0
20260912-033049-live-q4,q4,5BDP-WQQR-3YXX-9RHR,12,12,131,28,3,3634.108,302.842,2.063,8,no_action,0
20260912-033101-live-q4,q4,VF6F-CYTW-6Z4K-CVNN,13,13,207,30,1,4759.31,366.101,3.281,7,no_action,0
20260912-034827-live-q3,q3,4X2W-SUM7-PV99-5JHE,14,14,135,33,0,3728.431,266.317,2.36,0,all_resolved,0
20260912-034910-live-q3-r1,?,,12,12,170,29,2,3918.001,326.5,39.828,0,all_resolved,0
20260912-035022-live-q3,q3,AG6F-4639-HVJN-ETRP,12,12,161,27,0,3743.486,311.957,2.109,0,all_resolved,0
20260912-035036-live-q3,q3,49PX-CSSV-G6MU-H35P,16,16,112,38,0,3779.76,236.235,2.172,0,all_resolved,0
20260912-035051-live-q3,q3,BJB3-2A58-VF2A-CKTF,9,10,146,24,0,3489.421,387.713,2.094,1,no_action,0
20260912-035105-live-q3,q3,NYCA-7RBS-W3AK-NXMF,13,13,148,33,0,4033.326,310.256,2.078,0,all_resolved,0
20260912-040338-live-q3,q3,PUK6-JNYE-M249-3YAD,10,10,144,31,0,3491.428,349.143,2.141,0,all_resolved,0
20260912-041540-live-q3,q3,DCV7-PADT-U89D-JTBG,10,10,159,22,0,3947.452,394.745,2.265,0,all_resolved,0
20260912-041931-live-q3,q3,CT8Y-YMNV-HEF6-UTDE,15,15,134,43,0,3861.535,257.436,2.187,0,all_resolved,0
