seq,virtual_time_s,x_m,y_m,action,channel,result
5,14.0,44.62,5.87,measure,1,no_signal
7,20.0,44.62,5.87,measure,2,direction
9,26.0,44.62,5.87,measure,3,direction
11,32.0,44.62,5.87,measure,4,no_signal
13,38.0,44.62,5.87,measure,5,direction
15,44.0,44.62,5.87,measure,6,direction
17,50.0,44.62,5.87,measure,7,no_signal
19,56.0,44.62,5.87,measure,8,direction
21,62.0,44.62,5.87,measure,9,direction
23,68.0,44.62,5.87,measure,10,no_signal
25,74.0,44.62,5.87,measure,11,no_signal
27,80.0,44.62,5.87,measure,12,direction
29,86.0,44.62,5.87,measure,13,direction
31,92.0,44.62,5.87,measure,14,direction
33,98.0,44.62,5.87,measure,15,no_signal
35,104.0,44.62,5.87,measure,16,direction
37,110.0,44.62,5.87,measure,17,no_signal
39,116.0,44.62,5.87,measure,18,direction
41,122.0,44.62,5.87,measure,19,no_signal
43,128.0,44.62,5.87,measure,20,direction
51,354.0,-76.67,-1087.42,measure,2,direction
53,360.0,-76.67,-1087.42,measure,20,direction
55,366.0,-76.67,-1087.42,measure,9,direction
57,372.0,-76.67,-1087.42,measure,18,no_signal
59,378.0,-76.67,-1087.42,measure,1,no_signal
61,384.0,-76.67,-1087.42,measure,4,no_signal
63,390.0,-76.67,-1087.42,measure,7,no_signal
65,396.0,-76.67,-1087.42,measure,10,no_signal
67,402.0,-76.67,-1087.42,measure,11,no_signal
69,408.0,-76.67,-1087.42,measure,15,no_signal
71,414.0,-76.67,-1087.42,measure,17,no_signal
73,420.0,-76.67,-1087.42,measure,19,no_signal
75,426.0,-76.67,-1087.42,measure,5,direction
79,460.597,-158.59,-1204.61,measure,2,direction
81,466.597,-158.59,-1204.61,measure,1,no_signal
83,472.597,-158.59,-1204.61,measure,4,no_signal
85,478.597,-158.59,-1204.61,measure,7,no_signal
87,484.597,-158.59,-1204.61,measure,10,no_signal
89,490.597,-158.59,-1204.61,measure,11,no_signal
91,496.597,-158.59,-1204.61,measure,15,no_signal
93,502.597,-158.59,-1204.61,measure,17,no_signal
95,508.597,-158.59,-1204.61,measure,19,no_signal
97,643.718,-675.28,-809.23,clear,2,success
99,762.597,-1122.51,-464.96,measure,5,direction
101,768.597,-1122.51,-464.96,measure,13,direction
103,774.597,-1122.51,-464.96,measure,3,direction
105,780.597,-1122.51,-464.96,measure,16,direction
107,786.597,-1122.51,-464.96,measure,1,no_signal
109,792.597,-1122.51,-464.96,measure,4,no_signal
111,798.597,-1122.51,-464.96,measure,7,direction
113,804.597,-1122.51,-464.96,measure,10,no_signal
115,810.597,-1122.51,-464.96,measure,11,no_signal
117,816.597,-1122.51,-464.96,measure,15,no_signal
119,822.597,-1122.51,-464.96,measure,17,no_signal
121,828.597,-1122.51,-464.96,measure,19,no_signal
125,1034.597,-1961.47,79.24,measure,7,direction
127,1040.597,-1961.47,79.24,measure,16,direction
129,1046.597,-1961.47,79.24,measure,1,no_signal
131,1052.597,-1961.47,79.24,measure,4,no_signal
133,1058.597,-1961.47,79.24,measure,10,no_signal
135,1064.597,-1961.47,79.24,measure,11,no_signal
137,1070.597,-1961.47,79.24,measure,15,no_signal
139,1076.597,-1961.47,79.24,measure,17,no_signal
141,1082.597,-1961.47,79.24,measure,19,no_signal
144,1204.787,-1394.61,227.61,clear,7,success
146,1296.426,-1299.24,645.05,measure,13,direction
148,1302.426,-1299.24,645.05,measure,16,direction
150,1308.426,-1299.24,645.05,measure,12,direction
